"","companyName","company_starRating","company_offeredRole","company_roleLocation","company_salary","listing_jobDesc","salary","role","location","R","Python","SQL"
"1","Kum & Go",3.4,"Senior Data Analyst","Des Moines, IA","$59K - $84K (Glassdoor est.)","Apply business, analytic, and technical knowledge to meet wide ranging business and strategic needs using techniques such as segmentation, statistical inference, visualization, experimentation, and predictive modeling 
Work with large, sometimes disparate data sources to build analytic datasets for analysis and modeling. 
Manage assigned projects from inception to completion with a consultative approach: meet with business partners, define the problem/question, formulate an approach, execute the analysis, create recommendations, and present findings to stakeholders 
Identify and lead implementation of advanced data solutions, tools, or capabilities to meet strategic needs of the organization and enable self-service frameworks for analytic consumers Excellent analytical, critical thinking, and problem-solving skills 
High attention to detail and quality 
Ability to manage multiple projects that are at various stages 
Comfortable working both independently and collaborating in a team atmosphere 
Strong desire to provide quality work while meeting critical deadlines 
Highly skilled with statistical software and programming languages such as R, Python, SQL, and SAS and enabling statistical/data science packages such as pandas, scikit learn, H2O, caret, ggplot, and Spark. 
Advanced knowledge of statistical (e.g., sampling, regression, PCA, time-series forecasting, hypothesis testing, design of experiments) and machine learning (e.g., neural network, random forest, GBM) techniques 
Advanced knowledge of relational databases such as MS SQL Server, Oracle, and Teradata 
Working knowledge of cloud technologies such as Azure or AWS 
3+ years of experience in a similar role 
Relocation to Des Moines, IA area required 
Communication: Delivers clear, effective communication and listens to others 
Conceptual/Systems Thinking: Recognizes patterns, trends, themes, and connections in information to develop innovative ideas and solutions 
Constructive Engagement: Expresses ideas and disagreements, constructively resolves conflict, and encourages others to do the same 
Customer Orientation: Meets the expectations and needs of internal and external customers 
Decision Making: Makes good decisions in a timely manner 
Empowerment: Takes initiative and solves problems 
Talent Development: Maximizes potential and improves overall performance 
Influence: Proactively builds relationships and influences others 
Analytical Thinking/Problem Solving: Accurately assesses problems and effectively and efficiently arrives at solutions 
Strategic Thinking: Understands the current state and is able to visualize the ideal state and how to achieve it 
Passion - We love what we do, and it shows in our work 
Integrity - We do the right thing, even when it is difficult 
Teamwork - We believe that greatness is only achieved in unity 
Caring - We have genuine compassion for our customers, associates, families, and communities 
Excellence - We expect and deliver superior performance",71.5,"Data Analyst","IA",1,1,1
"2","Beam Inc.",3.8,"Data Scientist - Supply Planning","Chicago, IL","$84K - $120K (Glassdoor est.)","Partner with Global S&OP functional areas (Supply Planning, Commercial, and Fulfillment) to optimize our processes as part of the Global Supply Planning team.
 Implement process improvement initiatives that drive improvements to the metrics and streamline the Supply Chain Utilize a diverse array of technologies and tools as needed, to deliver insights, optimize processes, and develop automation Manage the analytics platform, build capabilities, support global user adoption of analytics and process adherence, develop and maintain technical documentation; work closely with IT for Data Engineering Work closely with the technical community to drive an SAP IBP team of business users globally, allowing for internal problem-solving capabilities, a high degree of end-user acceptance Partner with the business to understand the market segmentation strategies and develop visualization, models using machine learning (e.g. classification, clustering, regression) incorporating ABC-XYZ segmentation, and statistical analysis methods such as time-series analysis, statistical inference Desgin and integrate a global Inventory Management to provide end-to end Supply Chain visibility to Deep dive large into demand/supply planning and supply chain data to explain change, develop insights, and provide business recommendations to improve attainment, adherence, inventory management , and other key metrics. Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data, and identify patterns Lead and mentor a team of data scientists, and analysts Process structured, unstructured and semi-structured data and apply data cleaning Advanced Degree or equivalent experience in Operations Research, Industrial Engineering, Statistics, Applied Mathematics 3-5+ years of experience with at least 2+ years in experience in a supply chain discipline with demonstrated End to End understanding of Supply Chain interdependencies for a CPG or Spirits company. Excellent problem solving, analytical, written and verbal communication skills across many levels of the organization.
 communications and presenting to senior leadership. Experience with S&OP Planning tools like SAP IBP, SAP APO (DP and SNP) highly preferred Experience with Google Cloud Platform, SAP HANA strongly preferred Strong experience with Python/R, SQL, Power BI, Tableau Experience with operations research, statistics, linear programming, constraint programming. 3+ years of hands-on experience in developing and deploying optimization, predictive and prescriptive, machine learning models Ability to use collaborative programming tools like Git Ability to manage multiple projects and prioritize competing requirements",102,"Data Scientist","IL",1,1,1
"3","Utah State University",4.2,"Data Scientist","Logan, UT","$71K - $108K (Glassdoor est.)","
Clean and transform, data in preparation for statistical and analytical use. 
Apply statistical modeling and machine learning methods to diverse sets of data, and interpret, process, and synthesize results. 
Exercise judgement and prudence when preparing datasets, applying models, and interpreting results, to ensure only accurate and unbiased findings are disseminated. 
Provide accessible, action-oriented insights that lead to improved efficiency and intentionality through collaborative partnerships.
 Create, maintain, and execute a cascading plan of action utilizing large data sets from disparate sources across campus using advanced techniques, such as predictive modeling, and random forests. 
Determine appropriate statistical analyses and methods to employ, based on data availability and project needs 
Identify and pursue opportunities to serve as an emissary for advanced analytics techniques in action. 
Support, empower, and collaborate with institutional partners across campus. 
In close collaboration with colleagues, assist with the preparation and distribution of public scholarship and peer-reviewed data science. 
Serve as a resource for applied statistical methods using advanced and sophisticated technical knowledge. 
Collaborate with program administrators and other stakeholders to develop context around student participation data and empower data literacy. 
Effectively communicate analytic results to both technical and non-technical audiences. 
Stay informed about the state of the field in data science and predictive analytics in higher education. 
Special projects or other duties as assigned. 
A strong interest and aptitude in student success and related data. 
Effective communication skills (verbal and written). 
A technical aptitude and understanding of predictive models and ethics of care. 
An ability to collaborate and follow guidance regarding stakeholder engagement and public communication. 
Equivalent to a Masters degree in Data Analytics, Computer Science, Business, or related technical field and two (2) years of related experience required. 
Demonstrated statistical and quantitative analysis experience.
 Ability to effectively work independently and function as a collaborative team member. 
Exposure to and experience using analytics databases, reporting tools, and visualization tools. 
Proficiency in at least one programming languages (Python, R, Scala, etc.) for data preparation and analysis. 
Doctoral degree in Data Analytics or related field. 
Three (3) or more years of experience processing, cleaning, creating dashboards or other data visualizations. 
Three (3) or more years of experience developing, testing, and analyzing statistical or predictive models in a higher education or educational setting. 
Experience working with large complex data sets. 
Resume/CV to be uploaded at the beginning of your application in the Candidate Profile under ""Resume/CV"" 
Cover Letter to be typed/pasted at the end of your application updated 11/2022",89.5,"Data Scientist","UT",1,1,0
"4","Prime Connected",2,"Telecommunications System Technician (Data)","Providence, RI","Employer est.:$20.00 - $30.00 Per Hour","Rhode Island Telecommunications System Technician (Data) License. Experienced life stylers who are looking to start a new career opportunity where you’ll work locally for the first year and travel 90-95% of the time afterwards. Service-oriented team members Logical problem-solvers Organized multitaskers Strong communicators Rhode Island Telecommunications System Technician (Data) License. Structured cabling experience working with category cables and fiber optics Open-mind and willingness to learn and understand every aspect of the structured cabling system including pathways, spaces, cabling, testing and more High attention to detail Team player attitude Rhode Island Telecommunications System Technician (Data) License. COVID-19 Vaccination Other vaccinations required to work in hospital environments Must have a valid driver’s license Ability to read, write, and understand English Ability to distinguish colors 401(k) 401(k) matching Dental insurance Employee assistance program Health insurance Health savings account Life insurance Paid time off Parental leave Referral program Tuition reimbursement Vision insurance Monday to Friday Weekend availability Bonus pay Signing bonus Do you have any experience using cable certifiers/testers? Which ones have you used? Do you have experience installing j-hooks? What is the maximum spacing? Have you ever Sweep, PIM, or Fiber Tested before? Are you familiar with firestopping? Do you have any certifications related to firestop? Do you currently have a valid driver's license? (not suspended, revoked, ect.) What cable have you installed and/or terminated in a commercial setting? commercial (non-residential) structured cabling: 2 years (Required) RI Telecommunications System Technician (Data) License (Required) 100% (Required)",20,"Others","RI",1,0,0
"5","Bloomberg Industry Group",3.6,"Data Scientist","Washington, DC","Employer est.:$110K - $130K ","Proactively explore, research, describe, and analyze data. Develop tools and strategies related to text analytics, machine learning, and semantic enrichment Develop and maintain strong working relationships across departments and with key partners and stakeholders. Be tuned in to market trends and emerging technologies to find innovative solutions. Learn cutting-edge research in advanced ML & NLP topics and devise an efficient application for projects. Take ownership of technical solutions and direct machine learning strategy for the team. Drive, design, and develop projects as the principal point-of-contact, with the ability to determine suitable ML models, direct feature engineering processes and negotiate KPIs per business needs. Participates in special projects and performs other duties as assigned. Bachelor’s degree in related field or equivalent experience. 5 years of experience working with large data sets and managing data projects. Experience with programming in Java, Python, SQL. Experience with distributed computational frameworks (YARN, Spark, Hadoop, Kubernetes, Docker), cloud-based computingApache Solr, Lucene, or Elasticsearch). Experience with managing diverse data sources, including preprocessing, cleansing, and verifying the integrity of data. Experience with working with state, federal legislative or regulatory data is a plus. Familiarity with SQL and NoSQL data modeling and exploratory data visualization, preferred. Knowledge of advanced concepts such as weakly supervised learning, reinforcement learning, and deep learning, preferred. Extensive knowledge of leading open source data analysis tools, ML libraries, and NLP processing techniques (including topic modeling and summarization). Knowledge of descriptive and inferential statistics, regression, multivariate and univariate hypothesis testing. Excellent understanding of ML algorithms (e.g. KNN, Naive Bayes, decision trees, ensemble models, clustering) and the ability to select best methods for a business problem. Ability to analyze and manipulate unstructured and semi-structured data (text, PDF, JSON and XML files). Experience working with REST APIs (actual REST API development is a big plus) 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Flexible spending account Health insurance Life insurance Paid time off Parental leave Professional development assistance Referral program Tuition reimbursement Vision insurance 5x8 8 hour shift Monday to Friday Bonus pay Washington, DC 20005: Reliably commute or planning to relocate before starting work (Required) Python: 5 years (Preferred) SQL: 5 years (Preferred)",120,"Data Scientist","DC",1,1,1
"6","Johns Hopkins Applied Physics Laboratory (APL)",4.3,"Electro-Optic Data Scientist / System Engineer","Laurel, MD","$71K - $109K (Glassdoor est.)","
Analyze, evaluate, and test EO/IR seekers and sensors at the unit, subsystem, and system levels 
Develop and refine algorithms, tools, and simulations for analysis 
Support flight tests and related field operations and analyze the data from them 
Prepare and deliver to the Government reports that provide objective evidence for decision support 
Review requirements, designs, and specifications 
Analyze and work to improve the performance of special test equipment for EO/IR seeker and sensor systems 
Work with an inclusive, diverse team of developers and analysts, with project and program managers, and with peers across our organization to ensure that our assessments provide critical contributions to the most critical challenges the nation faces in air and missile defense. 
A BS degree in mathematics, physics, astronomy, optics, engineering, or a related field 
Professional experience in data analysis, evaluation, and testing applicable to electro-optic systems. 
Knowledge of a wide variety of physical and mathematical analytical techniques, and a flair for understanding and solving complex technical problems. 
Desire and ability to partner with government, industry, and academia to develop sophisticated systems crucial to the defense of the United States. 
Strong written and oral presentation skills. 
Are able to obtain an Interim Secret level security clearance by your start date and can ultimately obtain a Secret level clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship. 
Can demonstrate that you are fully vaccinated against COVID-19. To ensure the safety and well-being of the community, APL has established a policy requiring that all staff be vaccinated against COVID-19. All staff members must provide proof of full vaccination or have an approved medical or religious accommodation by their start date.",90,"Data Scientist","MD",1,0,0
"7","Belcan Government Services",3.7,"Data Scientist *Must hold active TS/SCI*","Tampa, FL","Employer est.:$130K ","The DSE is responsible for preparing ""big data infrastructure to include the design, build, and integration of various data sources. The contractor shall perform the following tasks:Develop complex queries to ensure accessibility while optimizing the performance of NoSQL and or big data infrastructure. US Citizen Data Visualization experience preferred. 401(k) 401(k) matching Dental insurance Health insurance Paid time off Vision insurance 8 hour shift Monday to Friday Tampa, FL: Reliably commute or planning to relocate before starting work (Required) Python: 1 year (Preferred) SQL: 1 year (Preferred)",130,"Data Scientist","FL",1,1,1
"8","Trinity Sterile, Inc.",2.4,"Artificial Intelligence Engineer","Salisbury, MD","Employer est.:$50K - $60K ","Design and implement machine learning models and algorithms for various business applications. Develop and deploy natural language processing (NLP) algorithms for chatbots and virtual assistants. Develop and implement computer vision algorithms for image and video analysis. Collaborate with software developers, data engineers, and other stakeholders to integrate AI systems with existing products and services. Optimize AI systems for accuracy, efficiency, and scalability. Ensure the security and privacy of sensitive data used in AI systems. Stay up-to-date with the latest developments and trends in AI and machine learning and evaluate their potential impact on our business. Develop and maintain documentation for all AI models and systems. Bachelor's degree in Computer Science, Data Science, Mathematics, or related field. Minimum of 5 years of experience in artificial intelligence, machine learning, or related field. Strong programming skills in languages such as Python, Java, or C++. Solid understanding of machine learning techniques and algorithms, including supervised and unsupervised learning, reinforcement learning, and deep learning. Experience with common machine learning frameworks such as TensorFlow, Keras, or PyTorch. Familiarity with natural language processing (NLP) techniques and tools such as NLTK, spaCy, or GPT. Experience with computer vision libraries and frameworks such as OpenCV or TensorFlow. Strong problem-solving and analytical skills. Excellent communication and collaboration skills. Ability to work effectively in a fast-paced, dynamic environment. 401(k) 401(k) matching Dental Insurance Health Insurance Health Savings Account Life Insurance Paid Time Off (PTO) Vision Insurance Waiting period 90 days Monday to Friday (8AM – 5PM) Bachelor’s (Required) Master’s (Preferred) 401(k) 401(k) matching Dental insurance Health insurance Health savings account Life insurance Paid time off Vision insurance 8 hour shift Monday to Friday Salisbury, MD: Reliably commute or planning to relocate before starting work (Required) Python: 1 year (Preferred) SQL: 1 year (Preferred)",55,"Machine Learning","MD",1,1,1
"9","MEDSTAR HEALTH",3.7,"Data Scientist - Quality and Safety - REMOTE","Washington, DC","$82K - $134K (Glassdoor est.)","
Master's degree in data science, information science, statistics, mathematics, computer science other quantitative study required
 
Related experience Required
 
Familiarity with common data science toolkits, such as R, SAS, Python, SQL, etc., to manipulate data and draw insights from large healthcare data sets, required. 
Proficiency with data visualization tools, such as Tableau or Business Objects, to convey insights to disparate audiences, required. 
Ability to communicate effectively, both oral and written, and favorable interpersonal skills are necessary to interact with a wide range of technical and non-technical associates, required. 
Contributes to the achievement of established department goals and objectives and adheres to department policies, procedures, quality standards, and safety standards. Complies with governmental and accreditation regulations. 
Data Sources: Learns, understands and becomes proficient in relevant MedStar and external data sources and systems including but not limited to electronic health record data, CRISP and Vizient databases. Utilizes appropriate data sources, definitions, and integration for analysis as appropriate. Understands the limits of use for each data source as well as the differences between similar elements in different data sets. 
Presentation of Data: Develops written and graphic presentations of information for MedStar associates. Using creative and adaptive thinking skills, designs and creates a wide range of polished, engaging, innovative and relevant reports, briefs, presentations and visualizations that present large amounts of information in ways that are universally understandable, easy to interpret, and communicate compelling stories to diverse audiences to inform decision-making and support quality and safety related improvement projects. 
Participates in multidisciplinary quality and safety improvement teams as appropriate. Participates in meetings, serves on committees and represents the department as appropriate. 
Supports other members of the department by providing ad hoc technical assistance. Uses software analysis tools such as SAS, R, Python, SQL and data visualization tools to report, analyze and interpret healthcare data; provides data support and responds to ad-hoc requests for customized data queries, reports and analyses. 
Participates in the discovery of innovative approaches towards MedStar Health's quality and safety mission, and the development and implementation of new data-driven tactics. 
Participates in meetings and on committees and represents the department and hospital in community outreach efforts. 
Participates in multi-disciplinary quality and service improvement teams. 
Performs other duties as assigned.",108,"Data Scientist","DC",1,1,1
"10","Johns Hopkins Applied Physics Laboratory (APL)",4.3,"Decision Scientist","Laurel, MD","$86K - $126K (Glassdoor est.)","
Your primary responsibility will be to apply decision science principles through thought leadership and practical expertise to the selection, design, development, and evaluation of complex decision support systems. 
You will apply skills related to decision science such as data analysis, data visualization, statistics, risk analysis, and operations research to precision strike system development. 
You will deliver formal presentations to sponsors and supporting contractors, and effectively communicate critical decision points and supporting analysis for those decisions. 
You will develop decision analysis teams and processes that provide effective and influential decision science perspectives on system design and development. 
Have a Master’s degree in Decision Science, Operations Research, Mathematics, Statistics, Data Science, or a related engineering discipline. 
Have at least five (5) years of relevant experience in applying decision science. 
Have strong verbal and written communication skills, as well as strong critical thinking skills. 
Have demonstrated the ability to interact effectively with diverse, multidisciplinary teams, including industry and Government sponsors. 
Are able to obtain an Interim Secret level security clearance by your start date and can ultimately obtain a Top Secret security clearance. If selected, you will be subject to a Government security clearance investigation and must meet the requirements for access to classification information. Eligibility requirements include U.S. citizenship. 
Can demonstrate that you are fully vaccinated against COVID-19. To ensure safety and well-being of the community, APL has established a policy requiring that all staff be vaccinated against COVID-19. All staff members must provide proof of fully vaccination or have an approved medical or religious accommodation by their start date. 
Have a PhD in Decision Science, Operations Research, Mathematics, Statistics, Data Science, or a related engineering discipline. 
Have direct experience applying Decision Science to develop systems for the DoD. 
Have experience with implementing software for data science applications. 
Have familiarity with the DoD acquisition process. 
Hold an active Top Secret clearance.",106,"Data Scientist","MD",1,0,0
